Date,AQI,Rainfall,Temp,Humidity,AQI_lag1,AQI_lag2,AQI_lag3,AQI_lag4,AQI_lag5,AQI_lag6,AQI_lag7,Rainfall_lag1,Rainfall_lag2,Rainfall_lag3,Temp_lag1,Temp_lag2,Temp_lag3,Humidity_lag1,Humidity_lag2,Humidity_lag3,AQI_rolling_3day_avg,AQI_rolling_7day_avg,Temp_rolling_3day_avg
2023-01-08,122.71,2.56,32.41,65.9,107.16,121.16,104.31,120.56,120.68,126.69,105.88,1.64,0.48,1.49,29.41,30.69,31.26,60.01,60.1,63.29,117.00999999999999,117.61,30.836666666666662
2023-01-09,112.66,1.53,30.8,61.86,122.71,107.16,121.16,104.31,120.56,120.68,126.69,2.56,1.64,0.48,32.41,29.41,30.69,65.9,60.01,60.1,114.17666666666666,115.60571428571427,30.87333333333333
2023-01-10,115.4,0.95,32.16,58.48,112.66,122.71,107.16,121.16,104.31,120.56,120.68,1.53,2.56,1.64,30.8,32.41,29.41,61.86,65.9,60.01,116.92333333333333,114.85142857142857,31.789999999999996
2023-01-11,121.98,0.43,29.82,53.07,115.4,112.66,122.71,107.16,121.16,104.31,120.56,0.95,1.53,2.56,32.16,30.8,32.41,58.48,61.86,65.9,116.68,115.05428571428573,30.926666666666666
2023-01-12,124.06,0.54,30.65,61.45,121.98,115.4,112.66,122.71,107.16,121.16,104.31,0.43,0.95,1.53,29.82,32.16,30.8,53.07,58.48,61.86,120.48,117.87571428571428,30.876666666666665
2023-01-13,121.03,0.0,32.53,59.28,124.06,121.98,115.4,112.66,122.71,107.16,121.16,0.54,0.43,0.95,30.65,29.82,32.16,61.45,53.07,58.48,122.35666666666668,117.85714285714286,31.0
2023-01-14,112.58,0.41,33.42,61.36,121.03,124.06,121.98,115.4,112.66,122.71,107.16,0.0,0.54,0.43,32.53,30.65,29.82,59.28,61.45,53.07,119.22333333333334,118.63142857142857,32.199999999999996
2023-01-15,117.27,1.36,29.49,67.36,112.58,121.03,124.06,121.98,115.4,112.66,122.71,0.41,0.0,0.54,33.42,32.53,30.65,61.36,59.28,61.45,116.96,117.85428571428572,31.813333333333333
2023-01-16,115.89,0.81,31.2,68.45,117.27,112.58,121.03,124.06,121.98,115.4,112.66,1.36,0.41,0.0,29.49,33.42,32.53,67.36,61.36,59.28,115.24666666666667,118.3157142857143,31.37
2023-01-17,107.53,1.23,32.16,66.34,115.89,117.27,112.58,121.03,124.06,121.98,115.4,0.81,1.36,0.41,31.2,29.49,33.42,68.45,67.36,61.36,113.56333333333333,117.19142857142856,30.95
2023-01-18,125.3,0.34,29.36,56.66,107.53,115.89,117.27,112.58,121.03,124.06,121.98,1.23,0.81,1.36,32.16,31.2,29.49,66.34,68.45,67.36,116.24000000000001,117.66571428571429,30.906666666666666
2023-01-19,103.24,1.07,29.89,63.75,125.3,107.53,115.89,117.27,112.58,121.03,124.06,0.34,1.23,0.81,29.36,32.16,31.2,56.66,66.34,68.45,112.02333333333333,114.69142857142857,30.47
2023-01-20,132.44,1.53,30.47,66.74,103.24,125.3,107.53,115.89,117.27,112.58,121.03,1.07,0.34,1.23,29.89,29.36,32.16,63.75,56.66,66.34,120.32666666666665,116.32142857142857,29.906666666666666
2023-01-21,123.7,0.0,31.03,49.9,132.44,103.24,125.3,107.53,115.89,117.27,112.58,1.53,1.07,0.34,30.47,29.89,29.36,66.74,63.75,56.66,119.79333333333334,117.91,30.463333333333335
2023-01-22,114.66,0.0,33.74,60.0,123.7,132.44,103.24,125.3,107.53,115.89,117.27,0.0,1.53,1.07,31.03,30.47,29.89,49.9,66.74,63.75,123.59999999999998,117.53714285714285,31.74666666666667
2023-01-23,117.56,0.41,30.56,59.47,114.66,123.7,132.44,103.24,125.3,107.53,115.89,0.0,0.0,1.53,33.74,31.03,30.47,60.0,49.9,66.74,118.63999999999999,117.77571428571427,31.776666666666667
2023-01-24,105.16,3.94,32.46,69.34,117.56,114.66,123.7,132.44,103.24,125.3,107.53,0.41,0.0,0.0,30.56,33.74,31.03,59.47,60.0,49.9,112.46,117.43714285714286,32.25333333333334
2023-01-25,104.05,1.35,33.67,60.58,105.16,117.56,114.66,123.7,132.44,103.24,125.3,3.94,0.41,0.0,32.46,30.56,33.74,69.34,59.47,60.0,108.92333333333333,114.40142857142857,32.23
2023-01-26,137.1,1.54,32.02,66.23,104.05,105.16,117.56,114.66,123.7,132.44,103.24,1.35,3.94,0.41,33.67,32.46,30.56,60.58,69.34,59.47,115.43666666666665,119.23857142857142,32.71666666666667
2023-01-27,106.54,1.72,30.89,64.36,137.1,104.05,105.16,117.56,114.66,123.7,132.44,1.54,1.35,3.94,32.02,33.67,32.46,66.23,60.58,69.34,115.89666666666666,115.53857142857143,32.193333333333335
2023-01-28,114.92,1.88,32.4,66.23,106.54,137.1,104.05,105.16,117.56,114.66,123.7,1.72,1.54,1.35,30.89,32.02,33.67,64.36,66.23,60.58,119.51999999999998,114.28428571428572,31.77
2023-01-29,123.8,0.48,31.14,60.12,114.92,106.54,137.1,104.05,105.16,117.56,114.66,1.88,1.72,1.54,32.4,30.89,32.02,66.23,64.36,66.23,115.08666666666666,115.59,31.47666666666667
2023-01-30,116.24,0.0,33.01,49.02,123.8,114.92,106.54,137.1,104.05,105.16,117.56,0.48,1.88,1.72,31.14,32.4,30.89,60.12,66.23,64.36,118.31999999999998,115.40142857142858,32.18333333333334
2023-01-31,112.81,0.03,32.96,59.73,116.24,123.8,114.92,106.54,137.1,104.05,105.16,0.0,0.48,1.88,33.01,31.14,32.4,49.02,60.12,66.23,117.61666666666666,116.49428571428571,32.37
2023-02-01,111.63,2.85,34.02,66.7,112.81,116.24,123.8,114.92,106.54,137.1,104.05,0.03,0.0,0.48,32.96,33.01,31.14,59.73,49.02,60.12,113.55999999999999,117.57714285714285,33.330000000000005
2023-02-02,127.12,1.53,30.22,64.26,111.63,112.81,116.24,123.8,114.92,106.54,137.1,2.85,0.03,0.0,34.02,32.96,33.01,66.7,59.73,49.02,117.18666666666665,116.15142857142857,32.400000000000006
2023-02-03,107.99,0.68,30.64,57.72,127.12,111.63,112.81,116.24,123.8,114.92,106.54,1.53,2.85,0.03,30.22,34.02,32.96,64.26,66.7,59.73,115.57999999999998,116.35857142857142,31.626666666666665
2023-02-04,132.68,0.0,33.21,58.54,107.99,127.12,111.63,112.81,116.24,123.8,114.92,0.68,1.53,2.85,30.64,30.22,34.02,57.72,64.26,66.7,122.59666666666665,118.89571428571428,31.35666666666667
