Date,Mandi,Crop,Price
2023-01-01,Coimbatore Mandi,Onion,3249.21
2023-01-01,Erode Mandi,Onion,3048.0
2023-01-01,Tiruppur Mandi,Onion,3445.48
2023-01-01,Coimbatore Mandi,Potato,1418.61
2023-01-01,Erode Mandi,Potato,1348.79
2023-01-01,Tiruppur Mandi,Potato,1535.37
2023-01-01,Coimbatore Mandi,Tomato,2036.52
2023-01-01,Erode Mandi,Tomato,1889.34
2023-01-01,Tiruppur Mandi,Tomato,2319.91
2023-01-02,Coimbatore Mandi,Onion,3222.28
2023-01-02,Erode Mandi,Onion,3319.9
2023-01-02,Tiruppur Mandi,Onion,3205.78
2023-01-02,Coimbatore Mandi,Potato,1318.98
2023-01-02,Erode Mandi,Potato,1358.68
2023-01-02,Tiruppur Mandi,Potato,1563.77
2023-01-02,Coimbatore Mandi,Tomato,2023.16
2023-01-02,Erode Mandi,Tomato,1930.17
2023-01-02,Tiruppur Mandi,Tomato,1962.01
2023-01-03,Coimbatore Mandi,Onion,3142.23
2023-01-03,Erode Mandi,Onion,2994.56
2023-01-03,Tiruppur Mandi,Onion,3451.32
2023-01-03,Coimbatore Mandi,Potato,1487.27
2023-01-03,Erode Mandi,Potato,1412.36
2023-01-03,Tiruppur Mandi,Potato,1482.83
2023-01-03,Coimbatore Mandi,Tomato,2180.66
2023-01-03,Erode Mandi,Tomato,1988.59
2023-01-03,Tiruppur Mandi,Tomato,2108.59
2023-01-04,Coimbatore Mandi,Onion,3972.33
2023-01-04,Erode Mandi,Onion,3215.58
2023-01-04,Tiruppur Mandi,Onion,3897.79
2023-01-04,Coimbatore Mandi,Potato,1523.49
2023-01-04,Erode Mandi,Potato,1467.86
2023-01-04,Tiruppur Mandi,Potato,1756.7
2023-01-04,Coimbatore Mandi,Tomato,2094.31
2023-01-04,Erode Mandi,Tomato,2202.89
2023-01-04,Tiruppur Mandi,Tomato,2385.09
2023-01-05,Coimbatore Mandi,Onion,3460.18
2023-01-05,Erode Mandi,Onion,2957.0
2023-01-05,Tiruppur Mandi,Onion,3608.84
2023-01-05,Coimbatore Mandi,Potato,1424.06
2023-01-05,Erode Mandi,Potato,1344.55
2023-01-05,Tiruppur Mandi,Potato,1564.04
2023-01-05,Coimbatore Mandi,Tomato,1955.78
2023-01-05,Erode Mandi,Tomato,2050.63
2023-01-05,Tiruppur Mandi,Tomato,2200.34
2023-01-06,Coimbatore Mandi,Onion,2883.52
2023-01-06,Erode Mandi,Onion,2982.24
2023-01-06,Tiruppur Mandi,Onion,3811.79
2023-01-06,Coimbatore Mandi,Potato,1338.91
2023-01-06,Erode Mandi,Potato,1323.55
2023-01-06,Tiruppur Mandi,Potato,1555.56
2023-01-06,Coimbatore Mandi,Tomato,1947.97
2023-01-06,Erode Mandi,Tomato,1865.79
2023-01-06,Tiruppur Mandi,Tomato,2062.46
2023-01-07,Coimbatore Mandi,Onion,3416.9
2023-01-07,Erode Mandi,Onion,3186.02
2023-01-07,Tiruppur Mandi,Onion,3594.23
2023-01-07,Coimbatore Mandi,Potato,1529.06
2023-01-07,Erode Mandi,Potato,1438.62
2023-01-07,Tiruppur Mandi,Potato,1706.15
2023-01-07,Coimbatore Mandi,Tomato,2158.22
2023-01-07,Erode Mandi,Tomato,2221.65
2023-01-07,Tiruppur Mandi,Tomato,2328.8
2023-01-08,Coimbatore Mandi,Onion,3612.07
2023-01-08,Erode Mandi,Onion,3462.17
2023-01-08,Tiruppur Mandi,Onion,3553.55
2023-01-08,Coimbatore Mandi,Potato,1508.22
2023-01-08,Erode Mandi,Potato,1392.99
2023-01-08,Tiruppur Mandi,Potato,1495.22
2023-01-08,Coimbatore Mandi,Tomato,2165.68
2023-01-08,Erode Mandi,Tomato,1882.07
2023-01-08,Tiruppur Mandi,Tomato,2444.53
2023-01-09,Coimbatore Mandi,Onion,3813.86
2023-01-09,Erode Mandi,Onion,3102.03
2023-01-09,Tiruppur Mandi,Onion,3567.54
2023-01-09,Coimbatore Mandi,Potato,1394.33
2023-01-09,Erode Mandi,Potato,1339.23
2023-01-09,Tiruppur Mandi,Potato,1469.6
2023-01-09,Coimbatore Mandi,Tomato,1962.09
2023-01-09,Erode Mandi,Tomato,1904.63
2023-01-09,Tiruppur Mandi,Tomato,2231.58
2023-01-10,Coimbatore Mandi,Onion,3157.56
2023-01-10,Erode Mandi,Onion,2925.65
2023-01-10,Tiruppur Mandi,Onion,3425.61
2023-01-10,Coimbatore Mandi,Potato,1462.32
2023-01-10,Erode Mandi,Potato,1398.91
2023-01-10,Tiruppur Mandi,Potato,1578.85
2023-01-10,Coimbatore Mandi,Tomato,2148.65
2023-01-10,Erode Mandi,Tomato,2131.22
2023-01-10,Tiruppur Mandi,Tomato,2305.43
2023-01-11,Coimbatore Mandi,Onion,3369.96
2023-01-11,Erode Mandi,Onion,2912.61
2023-01-11,Tiruppur Mandi,Onion,3561.26
2023-01-11,Coimbatore Mandi,Potato,1385.03
2023-01-11,Erode Mandi,Potato,1315.61
2023-01-11,Tiruppur Mandi,Potato,1624.81
2023-01-11,Coimbatore Mandi,Tomato,2052.64
2023-01-11,Erode Mandi,Tomato,1899.41
2023-01-11,Tiruppur Mandi,Tomato,2359.76
2023-01-12,Coimbatore Mandi,Onion,3295.32
2023-01-12,Erode Mandi,Onion,2995.88
2023-01-12,Tiruppur Mandi,Onion,3329.78
2023-01-12,Coimbatore Mandi,Potato,1459.11
2023-01-12,Erode Mandi,Potato,1399.09
2023-01-12,Tiruppur Mandi,Potato,1519.88
2023-01-12,Coimbatore Mandi,Tomato,2067.23
2023-01-12,Erode Mandi,Tomato,1814.62
2023-01-12,Tiruppur Mandi,Tomato,2233.14
2023-01-13,Coimbatore Mandi,Onion,3263.52
2023-01-13,Erode Mandi,Onion,3404.38
2023-01-13,Tiruppur Mandi,Onion,3355.31
2023-01-13,Coimbatore Mandi,Potato,1424.4
2023-01-13,Erode Mandi,Potato,1363.66
2023-01-13,Tiruppur Mandi,Potato,1623.65
2023-01-13,Coimbatore Mandi,Tomato,1957.12
2023-01-13,Erode Mandi,Tomato,2007.03
2023-01-13,Tiruppur Mandi,Tomato,2093.58
2023-01-14,Coimbatore Mandi,Onion,2808.33
2023-01-14,Erode Mandi,Onion,3093.06
2023-01-14,Tiruppur Mandi,Onion,3094.1
2023-01-14,Coimbatore Mandi,Potato,1378.38
2023-01-14,Erode Mandi,Potato,1261.71
2023-01-14,Tiruppur Mandi,Potato,1420.59
2023-01-14,Coimbatore Mandi,Tomato,2055.32
2023-01-14,Erode Mandi,Tomato,1941.82
2023-01-14,Tiruppur Mandi,Tomato,2039.19
2023-01-15,Coimbatore Mandi,Onion,3040.11
2023-01-15,Erode Mandi,Onion,3557.55
2023-01-15,Tiruppur Mandi,Onion,3626.36
2023-01-15,Coimbatore Mandi,Potato,1384.55
2023-01-15,Erode Mandi,Potato,1280.04
2023-01-15,Tiruppur Mandi,Potato,1448.35
2023-01-15,Coimbatore Mandi,Tomato,2004.2
2023-01-15,Erode Mandi,Tomato,1872.77
2023-01-15,Tiruppur Mandi,Tomato,2099.48
2023-01-16,Coimbatore Mandi,Onion,3553.07
2023-01-16,Erode Mandi,Onion,2871.87
2023-01-16,Tiruppur Mandi,Onion,2608.47
2023-01-16,Coimbatore Mandi,Potato,1418.68
2023-01-16,Erode Mandi,Potato,1392.86
2023-01-16,Tiruppur Mandi,Potato,1494.5
2023-01-16,Coimbatore Mandi,Tomato,1822.36
2023-01-16,Erode Mandi,Tomato,1969.02
2023-01-16,Tiruppur Mandi,Tomato,2169.8
2023-01-17,Coimbatore Mandi,Onion,3258.96
2023-01-17,Erode Mandi,Onion,3276.53
2023-01-17,Tiruppur Mandi,Onion,3014.03
2023-01-17,Coimbatore Mandi,Potato,1456.86
2023-01-17,Erode Mandi,Potato,1354.79
2023-01-17,Tiruppur Mandi,Potato,1514.91
2023-01-17,Coimbatore Mandi,Tomato,1888.04
2023-01-17,Erode Mandi,Tomato,1923.66
2023-01-17,Tiruppur Mandi,Tomato,2167.11
2023-01-18,Coimbatore Mandi,Onion,4078.56
2023-01-18,Erode Mandi,Onion,3650.6
2023-01-18,Tiruppur Mandi,Onion,3182.28
2023-01-18,Coimbatore Mandi,Potato,1509.32
2023-01-18,Erode Mandi,Potato,1355.81
2023-01-18,Tiruppur Mandi,Potato,1609.0
2023-01-18,Coimbatore Mandi,Tomato,2126.07
2023-01-18,Erode Mandi,Tomato,1937.78
2023-01-18,Tiruppur Mandi,Tomato,2342.32
2023-01-19,Coimbatore Mandi,Onion,3050.36
2023-01-19,Erode Mandi,Onion,2657.35
2023-01-19,Tiruppur Mandi,Onion,3984.48
2023-01-19,Coimbatore Mandi,Potato,1443.16
2023-01-19,Erode Mandi,Potato,1360.58
2023-01-19,Tiruppur Mandi,Potato,1487.25
2023-01-19,Coimbatore Mandi,Tomato,2105.58
2023-01-19,Erode Mandi,Tomato,1901.61
2023-01-19,Tiruppur Mandi,Tomato,2161.37
2023-01-20,Coimbatore Mandi,Onion,3806.54
2023-01-20,Erode Mandi,Onion,3248.18
2023-01-20,Tiruppur Mandi,Onion,3513.2
2023-01-20,Coimbatore Mandi,Potato,1341.57
2023-01-20,Erode Mandi,Potato,1328.93
2023-01-20,Tiruppur Mandi,Potato,1463.22
2023-01-20,Coimbatore Mandi,Tomato,1903.19
2023-01-20,Erode Mandi,Tomato,1853.74
2023-01-20,Tiruppur Mandi,Tomato,1941.73
2023-01-21,Coimbatore Mandi,Onion,3787.84
2023-01-21,Erode Mandi,Onion,3495.04
2023-01-21,Tiruppur Mandi,Onion,4338.95
2023-01-21,Coimbatore Mandi,Potato,1582.21
2023-01-21,Erode Mandi,Potato,1565.39
2023-01-21,Tiruppur Mandi,Potato,1714.72
2023-01-21,Coimbatore Mandi,Tomato,2120.66
2023-01-21,Erode Mandi,Tomato,2476.07
2023-01-21,Tiruppur Mandi,Tomato,2433.1
2023-01-22,Coimbatore Mandi,Onion,3107.85
2023-01-22,Erode Mandi,Onion,3073.89
2023-01-22,Tiruppur Mandi,Onion,3579.06
2023-01-22,Coimbatore Mandi,Potato,1478.54
2023-01-22,Erode Mandi,Potato,1357.32
2023-01-22,Tiruppur Mandi,Potato,1625.53
2023-01-22,Coimbatore Mandi,Tomato,2142.92
2023-01-22,Erode Mandi,Tomato,2110.15
2023-01-22,Tiruppur Mandi,Tomato,2177.89
2023-01-23,Coimbatore Mandi,Onion,3943.65
2023-01-23,Erode Mandi,Onion,3080.62
