latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
11.001758,76.99468,431.0,19800,Asia/Kolkata,GMT+5:30

time,temperature_2m_max (°C),temperature_2m_min (°C),precipitation_sum (mm),relative_humidity_2m_mean (%)
2023-01-01,29.9,18.9,0.00,59
2023-01-02,29.3,20.0,0.00,63
2023-01-03,30.0,20.0,0.00,60
2023-01-04,29.7,20.5,0.50,63
2023-01-05,28.8,19.5,0.00,66
2023-01-06,29.9,20.1,0.00,66
2023-01-07,29.6,20.5,0.00,62
2023-01-08,30.0,20.4,0.00,64
2023-01-09,29.6,20.6,0.20,62
2023-01-10,29.2,17.4,0.00,59
2023-01-11,29.8,18.1,0.00,54
2023-01-12,30.4,18.4,0.00,58
2023-01-13,30.1,17.9,0.00,57
2023-01-14,30.5,18.5,0.00,55
2023-01-15,30.7,18.0,0.00,56
2023-01-16,31.2,18.1,0.00,55
2023-01-17,30.5,18.9,0.00,60
2023-01-18,30.7,18.8,0.00,58
2023-01-19,30.5,18.7,0.00,56
2023-01-20,29.8,18.9,0.00,56
2023-01-21,30.5,20.3,0.10,59
2023-01-22,30.0,20.6,0.00,61
2023-01-23,30.5,20.5,0.10,64
2023-01-24,30.4,21.3,4.10,74
2023-01-25,30.4,20.2,0.00,63
2023-01-26,30.0,20.0,0.00,61
2023-01-27,30.8,19.1,0.00,59
2023-01-28,31.5,19.3,0.00,52
2023-01-29,32.1,19.5,0.00,50
2023-01-30,30.5,20.6,6.60,71
2023-01-31,32.9,21.4,0.40,62
2023-02-01,33.3,20.2,0.00,50
2023-02-02,32.6,22.4,0.30,48
2023-02-03,30.0,20.6,2.20,74
2023-02-04,31.5,21.4,0.10,69
2023-02-05,32.2,19.5,0.00,56
2023-02-06,32.4,19.0,0.00,50
2023-02-07,33.0,19.9,0.00,46
2023-02-08,33.2,20.7,0.00,51
2023-02-09,33.0,20.9,0.00,51
2023-02-10,33.8,20.5,0.00,45
2023-02-11,33.2,19.5,0.00,40
2023-02-12,33.9,19.0,0.00,40
2023-02-13,34.3,20.1,0.00,36
2023-02-14,33.6,20.4,0.00,39
2023-02-15,34.0,20.2,0.00,40
2023-02-16,34.2,20.5,0.00,41
2023-02-17,33.3,20.0,0.00,48
2023-02-18,33.2,20.2,0.00,41
2023-02-19,33.3,20.8,0.00,46
2023-02-20,34.0,20.9,0.00,51
2023-02-21,34.1,20.8,0.00,49
2023-02-22,34.8,20.4,0.00,36
2023-02-23,33.2,20.0,0.00,42
2023-02-24,33.8,20.8,0.00,47
2023-02-25,35.2,21.1,0.00,41
2023-02-26,34.5,20.9,0.00,29
2023-02-27,33.0,19.1,0.00,45
2023-02-28,33.6,20.9,0.10,46
2023-03-01,33.7,21.9,0.60,54
2023-03-02,33.8,21.1,0.00,44
2023-03-03,34.7,19.2,0.00,33
2023-03-04,34.8,19.6,0.00,41
2023-03-05,35.3,22.2,0.00,44
2023-03-06,35.1,22.0,0.00,41
2023-03-07,33.9,21.3,0.00,41
2023-03-08,34.0,21.2,0.00,51
2023-03-09,34.3,21.5,0.00,45
